Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Marco Jansen,SRH,https://sports.ndtv.com/cricket/players/113406-marco-jansen-playerprofile,All-Rounder ,4.2,Marco Jansen,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,IPL,2.0,2.0,0.0,0.0,0 v KKR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,45.0,2.0,2/28 v RCB,0.0,0.0,22.5,7.5,18.0,2.0,marco jansen
Umran Malik,SRH,https://sports.ndtv.com/cricket/players/113473-umran-malik-playerprofile,Bowler ,4.0,Umran Malik,"November 22, 1999 Srinagar, Jammu & Kashmir","22 Years, 3 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,3.0,12.0,0.0,96.0,2.0,1/21 v RCB,0.0,0.0,48.0,8.0,36.0,3.0,umran malik
Abdul Samad,SRH,https://sports.ndtv.com/cricket/players/113179-abdul-samad-playerprofile,Batsman ,4.0,Abdul Samad Farooq,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,IPL,23.0,18.0,4.0,222.0,33 v DC,0.0,0.0,12.0,14.0,15.85,146.05,13.0,0.0,2.0,1.0,4.0,8.0,0.0,105.0,2.0,1/9 v PBKS,0.0,0.0,52.5,13.12,24.0,4.0,abdul samad
T Natarajan,SRH,https://sports.ndtv.com/cricket/players/107525-t-natarajan-playerprofile,Bowler ,4.0,Thangarasu Natarajan,"May 27, 1991 Salem","30 Years, 9 Months, 20 Days",India,Left Handed,Left-arm medium,IPL,24.0,4.0,4.0,3.0,3* v RCB,0.0,0.0,0.0,0.0,,60.0,3.0,0.0,3.0,0.0,24.0,83.3,1.0,688.0,20.0,2/24 v PBKS,0.0,0.0,34.4,8.23,25.05,24.0,t natarajan
Kartik Tyagi,SRH,https://sports.ndtv.com/cricket/players/108595-kartik-tyagi-playerprofile,Bowler ,4.0,Kartik Tyagi,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,IPL,14.0,5.0,3.0,6.0,2* v DC,0.0,0.0,0.0,0.0,3.0,60.0,3.0,0.0,1.0,0.0,14.0,52.1,0.0,491.0,13.0,2/29 v PBKS,0.0,0.0,37.76,9.41,24.07,14.0,kartik tyagi
Aiden Markram,SRH,https://sports.ndtv.com/cricket/players/64634-aiden-kyle-markram-playerprofile,Batsman ,2.6,Aiden Kyle Markram,"October 4, 1994 Centurion","27 Years, 5 Months, 11 Days",South Africa,Right Handed,Off break,IPL,6.0,6.0,1.0,146.0,42 v MI,0.0,0.0,12.0,4.0,29.2,122.68,3.0,0.0,0.0,0.0,2.0,4.0,0.0,23.0,0.0,0/5 v RCB,0.0,0.0,,5.75,,2.0,aiden markram
Sean Abbott,SRH,https://sports.ndtv.com/cricket/players/106719-sean-abbott-playerprofile,Bowler ,2.4,Sean Anthony Abbott,"February 29, 1992 Windsor, New South Wales","30 Years, 0 Months, 15 Days",Australia,Right Handed,Right-arm fast medium,IPL,2.0,2.0,0.0,15.0,14 v SRH,0.0,0.0,1.0,1.0,7.5,115.38,,,0.0,1.0,2.0,5.0,0.0,57.0,0.0,0/21 v SRH,0.0,0.0,,11.4,,2.0,sean abbott
Glenn Phillips,SRH,https://sports.ndtv.com/cricket/players/107472-glenn-phillips-playerprofile,Wicket-Keeper ,1.5,Glenn Dominic Phillips,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,IPL,3.0,3.0,1.0,26.0,14* v CSK,0.0,0.0,1.0,2.0,13.0,78.78,1.0,0.0,0.0,0.0,2.0,2.0,0.0,20.0,1.0,1/17 v KKR,0.0,0.0,20.0,10.0,12.0,2.0,glenn phillips
Shreyas Gopal,SRH,https://sports.ndtv.com/cricket/players/51296-shreyas-gopal-playerprofile,Bowler ,0.75,Shreyas Gopal,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,IPL,48.0,21.0,7.0,171.0,24 v PBKS,0.0,0.0,17.0,2.0,12.21,105.55,11.0,0.0,4.0,2.0,47.0,155.1,1.0,1247.0,48.0,4/16 v RCB,4.0,0.0,25.97,8.03,19.39,47.0,shreyas gopal
Fazalhaq Farooqi,SRH,https://sports.ndtv.com/cricket/players/112535-fazal-haque-playerprofile,Bowler ,0.5,Fazalhaq Farooqi,"September 22, 2000 Baghlan","21 Years, 5 Months, 23 Days",Afghanistan,Right Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fazalhaq farooqi
Vishnu Vinod,SRH,https://sports.ndtv.com/cricket/players/107531-vishnu-vinod-playerprofile,Wicket-Keeper ,0.5,Vishnu Vinod,"December 2, 1993 Pathanamthitta, Kerala","28 Years, 3 Months, 13 Days",India,Right Handed,,,3.0,3.0,0.0,19.0,9 v DC,0.0,0.0,1.0,1.0,6.33,73.07,0.0,2.0,0.0,1.0,,,,,,,,,,,,,vishnu vinod
Priyam Garg,SRH,https://sports.ndtv.com/cricket/players/110579-priyam-garg-playerprofile,Batsman ,0.2,Priyam K Garg,"November 30, 2000 Meerut, Uttar Pradesh","21 Years, 3 Months, 15 Days",India,Right Handed,Right-arm medium,,19.0,15.0,1.0,205.0,51* v CSK,0.0,1.0,11.0,7.0,14.64,110.81,6.0,0.0,2.0,1.0,,,,,,,,,,,,,priyam garg
Saurabh Dubey,SRH,https://sports.ndtv.com/cricket/players/113468-saurabh-dubey-playerprofile,Bowler ,0.2,Saurabh Dubey,"January 23, 1998 ","24 Years, 1 Months, 20 Days",India,Right Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saurabh dubey
Jagadeesha Suchith,SRH,https://sports.ndtv.com/cricket/players/106726-jagadeesha-suchith-playerprofile,Bowler ,0.2,Jagadeesha Suchith,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,IPL,17.0,8.0,6.0,68.0,34* v PBKS,0.0,0.0,6.0,3.0,34.0,128.3,9.0,0.0,2.0,1.0,16.0,52.0,0.0,462.0,12.0,2/14 v SRH,0.0,0.0,38.5,8.88,26.0,16.0,jagadeesha suchith
Shashank Singh,SRH,https://sports.ndtv.com/cricket/players/63951-shashank-singh-playerprofile,All-Rounder ,0.2,Shashank Singh,"November 21, 1991 Bhilai","30 Years, 3 Months, 25 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shashank singh
Ravikumar Samarth,SRH,https://sports.ndtv.com/cricket/players/63978-ravikumar-samarth-playerprofile,Batsman ,0.2,Ravikumar Samarth,"January 22, 1993","29 Years, 1 Months, 21 Days",India,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,ravikumar samarth
Sanju Samson,RR,https://sports.ndtv.com/cricket/players/1701-sanju-samson-playerprofile,Wicket-Keeper ,14.0,Sanju Viswanath Samson,"November 11, 1994 Pulluvila, Vizhinjam, Trivandrum","27 Years, 4 Months, 4 Days",India,Right Handed,,,121.0,117.0,12.0,3068.0,119 v PBKS,3.0,15.0,236.0,132.0,29.21,134.2,59.0,10.0,8.0,6.0,,,,,,,,,,,,,sanju samson
Prasidh Krishna,RR,https://sports.ndtv.com/cricket/players/107509-prasidh-krishna-playerprofile,Bowler ,10.0,Muralikrishna Prasidh Krishna,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,IPL,34.0,7.0,5.0,3.0,2* v RCB,0.0,0.0,0.0,0.0,1.5,25.0,7.0,0.0,5.0,1.0,34.0,124.2,0.0,1152.0,30.0,4/30 v SRH,2.0,0.0,38.4,9.26,24.86,34.0,prasidh krishna
Jos Buttler,RR,https://sports.ndtv.com/cricket/players/1367-jos-buttler-playerprofile,Wicket-Keeper ,10.0,Joseph Charles Buttler,"September 8, 1990 Taunton, Somerset","31 Years, 6 Months, 7 Days",England,Right Handed,,,65.0,64.0,8.0,1968.0,124 v SRH,1.0,11.0,194.0,90.0,35.14,150.0,34.0,1.0,1.0,3.0,,,,,,,,,,,,,jos buttler
Shimron Hetmyer,RR,https://sports.ndtv.com/cricket/players/107627-shimron-hetmyer-playerprofile,Batsman ,8.5,Shimron Odilon Hetmyer,"December 26, 1996 Cumberland, Berbice","25 Years, 2 Months, 20 Days",West Indies,Left Handed,,,31.0,29.0,9.0,517.0,75 v SRH,0.0,2.0,34.0,31.0,25.85,151.17,14.0,0.0,3.0,2.0,,,,,,,,,,,,,shimron hetmyer
Trent Boult,RR,https://sports.ndtv.com/cricket/players/1061-trent-boult-playerprofile,Bowler ,8.0,Trent Alexander Boult,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,IPL,62.0,10.0,7.0,13.0,6 v CSK,0.0,0.0,0.0,1.0,4.33,68.42,23.0,0.0,6.0,0.0,62.0,236.1,5.0,1983.0,76.0,4/18 v CSK,5.0,0.0,26.09,8.39,18.64,62.0,trent boult
Devdutt Padikkal,RR,https://sports.ndtv.com/cricket/players/110591-devdutt-padikkal-playerprofile,Batsman ,7.75,Devdutt Babunu Padikkal,"July 7, 2000 Edapal, Kerala","21 Years, 8 Months, 8 Days",India,Left Handed,Off break,,29.0,29.0,1.0,884.0,101* v RR,1.0,6.0,95.0,22.0,31.57,125.03,15.0,0.0,2.0,1.0,,,,,,,,,,,,,devdutt padikkal
Yuzvendra Chahal,RR,https://sports.ndtv.com/cricket/players/1394-yuzvendra-chahal-playerprofile,Bowler ,6.5,Yuzvendra Singh Chahal,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",India,Right Handed,Leg break googly,IPL,114.0,18.0,12.0,32.0,8* v CSK,0.0,0.0,0.0,0.0,5.33,41.02,24.0,0.0,5.0,2.0,113.0,408.0,4.0,3097.0,139.0,4/25 v PBKS,9.0,0.0,22.28,7.59,17.61,113.0,yuzvendra chahal
Ravichandran Ashwin,RR,https://sports.ndtv.com/cricket/players/1109-ravichandran-ashwin-playerprofile,All-Rounder ,5.0,Ravichandran Ashwin,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",India,Right Handed,Off break,IPL,167.0,63.0,22.0,456.0,45 v KKR,0.0,0.0,37.0,12.0,11.12,109.88,37.0,0.0,15.0,5.0,164.0,583.0,4.0,4031.0,145.0,4/34 v PBKS,6.0,0.0,27.8,6.91,24.12,164.0,ravichandran ashwin
Yashasvi Jaiswal,RR,https://sports.ndtv.com/cricket/players/112646-yashasvi-jaiswal-playerprofile,Batsman ,4.0,Yashasvi Bhupendra Kumar Jaiswal,"December 28, 2001 Suriya, Uttar Pradesh","20 Years, 2 Months, 18 Days",India,Left Handed,Leg break,,13.0,13.0,0.0,289.0,50 v CSK,0.0,1.0,34.0,12.0,22.23,136.32,4.0,0.0,2.0,0.0,,,,,,,,,,,,,yashasvi jaiswal
Riyan Parag,RR,https://sports.ndtv.com/cricket/players/108566-riyan-parag-playerprofile,All-Rounder ,3.8,Riyan Parag,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,IPL,30.0,23.0,3.0,339.0,50 v DC,0.0,1.0,29.0,12.0,16.95,118.53,12.0,0.0,3.0,2.0,15.0,22.1,0.0,221.0,3.0,1/7 v PBKS,0.0,0.0,73.66,9.96,44.33,15.0,riyan parag
Navdeep Saini,RR,https://sports.ndtv.com/cricket/players/64853-navdeep-amarjeet-saini-playerprofile,Bowler ,2.6,Navdeep Amarjeet Saini,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,28.0,6.0,3.0,31.0,12* v DC,0.0,0.0,3.0,0.0,10.33,88.57,6.0,0.0,1.0,0.0,28.0,97.4,1.0,828.0,17.0,2/24 v DC,0.0,0.0,48.7,8.47,34.47,28.0,navdeep saini
Nathan Coulter-Nile,RR,https://sports.ndtv.com/cricket/players/1424-nathan-coulter-nile-playerprofile,Bowler ,2.0,Nathan Mitchell Coulter-Nile,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,IPL,38.0,16.0,5.0,81.0,24* v PBKS,0.0,0.0,7.0,4.0,7.36,115.71,12.0,0.0,1.0,1.0,37.0,139.5,1.0,1052.0,48.0,4/14 v RR,5.0,0.0,21.91,7.52,17.47,37.0,nathan coulter-nile
James Neesham,RR,https://sports.ndtv.com/cricket/players/1441-james-neesham-playerprofile,All-Rounder ,1.5,James Douglas Sheahan Neesham,"September 17, 1990 Auckland","31 Years, 5 Months, 28 Days",New Zealand,Left Handed,Right-arm medium fast,IPL,12.0,8.0,1.0,61.0,22 v CSK,0.0,0.0,3.0,2.0,8.71,92.42,1.0,0.0,2.0,0.0,12.0,33.0,0.0,305.0,8.0,3/12 v RR,1.0,0.0,38.12,9.24,24.75,12.0,james neesham
Karun Nair,RR,https://sports.ndtv.com/cricket/players/1708-karun-nair-playerprofile,Batsman ,1.4,Karun Kaladharan Nair,"December 6, 1991 Jodhpur, Rajasthan","30 Years, 3 Months, 10 Days",India,Right Handed,Off break,,73.0,66.0,5.0,1480.0,83* v SRH,0.0,10.0,160.0,39.0,24.26,128.36,22.0,0.0,3.0,1.0,,,,,,,,,,,,,karun nair
Rassie van der Dussen,RR,https://sports.ndtv.com/cricket/players/1541-rassie-van-der-dussen-playerprofile,Batsman ,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rassie van der dussen
Obed McCoy,RR,https://sports.ndtv.com/cricket/players/110382-obed-mccoy-playerprofile,Bowler ,0.75,Obed Christopher McCoy,"January 4, 1997 ","25 Years, 2 Months, 11 Days",West Indies,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obed mccoy
Daryl Mitchell,RR,https://sports.ndtv.com/cricket/players/50709-daryl-joseph-mitchell-playerprofile,All-Rounder ,0.75,Daryl Joseph Mitchell,"May 20, 1991 Hamilton","30 Years, 9 Months, 27 Days",New Zealand,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daryl mitchell
KC Cariappa,RR,https://sports.ndtv.com/cricket/players/107051-kc-cariappa-playerprofile,Bowler ,0.3,Konganda Charamanna Cariappa,"April 13, 1994 Bangalore, Karnataka","27 Years, 11 Months, 2 Days",India,Right Handed,Leg break,IPL,11.0,5.0,2.0,24.0,12* v RCB,0.0,0.0,0.0,2.0,8.0,114.28,3.0,0.0,0.0,0.0,11.0,36.0,0.0,348.0,8.0,2/16 v RCB,0.0,0.0,43.5,9.66,27.0,11.0,kc cariappa
Tejas Baroka,RR,https://sports.ndtv.com/cricket/players/107535-tejas-baroka-playerprofile,Bowler ,0.2,Tejas Singh Baroka,"February 1, 1996 Pondicherry","26 Years, 1 Months, 12 Days",India,Right Handed,Leg break googly,IPL,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,3.3,0.0,33.0,0.0,0/33 v SRH,0.0,0.0,,9.42,,1.0,tejas baroka
Kuldip Yadav,RR,https://sports.ndtv.com/cricket/players/108618-kuldip-yadav-playerprofile,Bowler ,0.2,Kuldip Yadav,"October 15, 1996 ","25 Years, 5 Months, 0 Days",India,Left Handed,Left-arm medium fast,IPL,1.0,1.0,1.0,0.0,0* v MI,0.0,0.0,0.0,0.0,,0.0,,,1.0,0.0,1.0,2.0,0.0,16.0,0.0,0/16 v MI,0.0,0.0,,8.0,,1.0,kuldip yadav
Dhruv Jurel,RR,https://sports.ndtv.com/cricket/players/112648-dhruv-jurel-playerprofile,Wicket-Keeper ,0.2,Dhruv Chand Jurel,"January 21, 2001 Agra, Uttar Pradesh","21 Years, 1 Months, 22 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dhruv jurel
Kuldeep Sen,RR,https://sports.ndtv.com/cricket/players/110603-kuldeep-sen-playerprofile,Bowler ,0.2,Kuldeep Rampal Sen,"October 22, 1996 Rewa, Madhya Pradesh, India","25 Years, 4 Months, 24 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kuldeep sen
Shubham Garhwal,RR,https://sports.ndtv.com/cricket/players/115354-shubham-garhwal-playerprofile,All-Rounder ,0.2,Shubham Shankar Garhwal,"May 14, 1995 Jodhpur, Rajasthan","26 Years, 10 Months, 2 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shubham garhwal
Anunay Singh,RR,https://sports.ndtv.com/cricket/players/115306-anunay-singh-playerprofile,All-Rounder ,0.2,Anunay Narayan Singh,"January 3, 1993 Vaishali, Bihar","29 Years, 2 Months, 12 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anunay singh
Virat Kohli,RCB,https://sports.ndtv.com/cricket/players/967-virat-kohli-playerprofile,Batsman ,15.0,Virat Kohli,"November 5, 1988 Delhi","33 Years, 4 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,207.0,199.0,31.0,6283.0,113 v PBKS,5.0,42.0,546.0,210.0,37.39,129.94,84.0,0.0,6.0,7.0,26.0,41.5,0.0,368.0,4.0,2/25 v DCH,0.0,0.0,92.0,8.79,62.75,26.0,virat kohli
Glenn Maxwell,RCB,https://sports.ndtv.com/cricket/players/1423-glenn-maxwell-playerprofile,All-Rounder ,11.0,Glenn James Maxwell,"October 14, 1988 Kew, Melbourne, Victoria","33 Years, 5 Months, 1 Days",Australia,Right Handed,Off break,IPL,97.0,93.0,13.0,2018.0,95 v CSK,0.0,12.0,166.0,112.0,25.22,151.84,35.0,0.0,12.0,4.0,56.0,107.0,0.0,915.0,22.0,2/15 v RCB,0.0,0.0,41.59,8.55,29.18,56.0,glenn maxwell
Harshal Patel,RCB,https://sports.ndtv.com/cricket/players/1293-harshal-patel-playerprofile,All-Rounder ,10.75,Harshal Vikram Patel,"November 23, 1990 Sanand, Gujarat","31 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,IPL,63.0,28.0,11.0,187.0,36* v CSK,0.0,0.0,11.0,11.0,11.0,134.53,15.0,0.0,9.0,3.0,61.0,210.4,0.0,1808.0,78.0,5/27 v MI,6.0,1.0,23.17,8.58,16.2,61.0,harshal patel
Wanindu Hasaranga,RCB,https://sports.ndtv.com/cricket/players/107713-wanidu-hasaranga-playerprofile,All-Rounder ,10.75,Pinnaduwage Wanindu Hasaranga De Silva,"July 29, 1997 Galle","24 Years, 7 Months, 17 Days",Sri Lanka,Right Handed,Leg break,IPL,2.0,2.0,1.0,1.0,1* v CSK,0.0,0.0,0.0,0.0,1.0,50.0,,,1.0,0.0,2.0,6.0,0.0,60.0,0.0,0/20 v KKR,0.0,0.0,,10.0,,2.0,wanindu hasaranga
Josh Hazlewood,RCB,https://sports.ndtv.com/cricket/players/1040-josh-hazlewood-playerprofile,Bowler ,7.75,Josh Reginald Hazlewood,"January 8, 1991 Tamworth, New South Wales, Australia","31 Years, 2 Months, 7 Days",Australia,Left Handed,Right-arm fast medium,IPL,12.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,12.0,45.0,0.0,357.0,12.0,3/24 v SRH,1.0,0.0,29.75,7.93,22.5,12.0,josh hazlewood
Faf du Plessis,RCB,https://sports.ndtv.com/cricket/players/1579-faf-du-plessis-playerprofile,Batsman ,7.0,Francois du Plessis,"July 13, 1984 Pretoria, Transvaal","37 Years, 8 Months, 2 Days",South Africa,Right Handed,Leg break,IPL,100.0,93.0,9.0,2935.0,96 v PBKS,0.0,22.0,265.0,96.0,34.94,131.08,66.0,0.0,5.0,9.0,1.0,1.0,0.0,16.0,0.0,0/16 v DCH,0.0,0.0,,16.0,,1.0,faf du plessis
Mohammed Siraj,RCB,https://sports.ndtv.com/cricket/players/107503-mohammed-siraj-playerprofile,Bowler ,7.0,Mohammed Siraj,"March 13, 1994 Hyderabad","28 Years, 0 Months, 2 Days",India,Right Handed,Right-arm medium fast,IPL,50.0,15.0,10.0,66.0,14 v RR,0.0,0.0,5.0,2.0,13.2,86.84,16.0,0.0,5.0,1.0,50.0,171.2,4.0,1437.0,50.0,4/32 v GL,3.0,0.0,28.74,8.38,20.56,50.0,mohammed siraj
Dinesh Karthik,RCB,https://sports.ndtv.com/cricket/players/666-dinesh-karthik-playerprofile,Wicket-Keeper ,5.5,Krishnakumar Dinesh Karthik,"June 1, 1985 Chennai, Tamil Nadu","36 Years, 9 Months, 14 Days",India,Right Handed,Off break,,213.0,192.0,35.0,4046.0,97* v RR,0.0,19.0,399.0,112.0,25.77,129.72,123.0,32.0,14.0,12.0,,,,,,,,,,,,,dinesh karthik
Anuj Rawat,RCB,https://sports.ndtv.com/cricket/players/108579-anuj-rawat-playerprofile,Wicket-Keeper ,3.4,Anuj Rawat,"October 17, 1999 Ram Nagar, Uttarakhand","22 Years, 5 Months, -1 Days",India,Left Handed,,,2.0,1.0,0.0,0.0,0 v KKR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,anuj rawat
Shahbaz Ahmed,RCB,https://sports.ndtv.com/cricket/players/51351-shahbaz-ahmed-playerprofile,All-Rounder ,2.4,Shahbaz Ahmed,"December 12, 1994 Mewat, Haryana","27 Years, 3 Months, 3 Days",India,Left Handed,Slow left-arm orthodox,IPL,13.0,8.0,1.0,60.0,14 v SRH,0.0,0.0,4.0,2.0,8.57,111.11,5.0,0.0,0.0,0.0,8.0,20.0,0.0,136.0,9.0,3/7 v SRH,1.0,0.0,15.11,6.8,13.33,8.0,shahbaz ahmed
David Willey,RCB,https://sports.ndtv.com/cricket/players/25633-dj-willey-playerprofile,All-Rounder ,2.0,David Jonathan Willey,"February 28, 1990 Northampton","32 Years, 0 Months, 15 Days",England,Left Handed,Left-arm fast medium,IPL,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,3.0,10.0,0.0,95.0,2.0,1/24 v RCB,0.0,0.0,47.5,9.5,30.0,3.0,david willey
Sherfane Rutherford,RCB,https://sports.ndtv.com/cricket/players/110388-sherfane-rutherford-playerprofile,All-Rounder ,1.0,Sherfane Eviston Rutherford,"August 15, 1998 ","23 Years, 7 Months, 0 Days",West Indies,Left Handed,Right-arm fast medium,IPL,7.0,7.0,2.0,73.0,28* v RCB,0.0,0.0,2.0,7.0,14.6,135.18,5.0,0.0,0.0,0.0,6.0,6.5,0.0,59.0,1.0,1/6 v RCB,0.0,0.0,59.0,8.63,41.0,6.0,sherfane rutherford
Mahipal Lomror,RCB,https://sports.ndtv.com/cricket/players/107234-mahipal-lomror-playerprofile,All-Rounder ,0.95,Mahipal Krishan Lomror,"November 16, 1999 Nagaur, Rajasthan","22 Years, 4 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,IPL,11.0,10.0,2.0,181.0,47 v RCB,0.0,0.0,8.0,9.0,22.62,119.86,1.0,0.0,0.0,0.0,6.0,10.0,0.0,74.0,1.0,1/22 v SRH,0.0,0.0,74.0,7.4,60.0,6.0,mahipal lomror
Finn Allen,RCB,https://sports.ndtv.com/cricket/players/113428-finn-allen-playerprofile,Batsman ,0.8,Finnley Hugh Allen,"April 22, 1999 Auckland","22 Years, 10 Months, 24 Days",New Zealand,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,finn allen
Jason Behrendorff,RCB,https://sports.ndtv.com/cricket/players/1663-jason-behrendorff-playerprofile,Bowler ,0.75,Jason Paul Behrendorff,"April 20, 1990 Camden, New South Wales","31 Years, 10 Months, 25 Days",Australia,Right Handed,Left-arm fast medium,IPL,5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,5.0,19.0,0.0,165.0,5.0,2/22 v CSK,0.0,0.0,33.0,8.68,22.8,5.0,jason behrendorff
Siddarth Kaul,RCB,https://sports.ndtv.com/cricket/players/1699-siddarth-kaul-playerprofile,Bowler ,0.75,Siddarth Kaul,"May 19, 1990 Pathankot, Punjab","31 Years, 9 Months, 27 Days",India,Right Handed,Right-arm medium,IPL,54.0,12.0,8.0,20.0,7* v KKR,0.0,0.0,1.0,0.0,5.0,55.55,8.0,0.0,6.0,2.0,54.0,197.3,3.0,1696.0,58.0,4/29 v RPS,3.0,0.0,29.24,8.58,20.43,54.0,siddarth kaul
Karn Sharma,RCB,https://sports.ndtv.com/cricket/players/1245-karan-sharma-playerprofile,Bowler ,0.5,Karn Vinod Sharma,"October 23, 1987 Meerut, Uttar Pradesh","34 Years, 4 Months, 24 Days",India,Left Handed,Leg break googly,IPL,68.0,35.0,14.0,317.0,39* v CSK,0.0,0.0,18.0,14.0,15.09,115.69,14.0,0.0,2.0,3.0,66.0,203.4,1.0,1610.0,59.0,4/16 v KKR,2.0,0.0,27.28,7.9,20.71,66.0,karn sharma
Suyash Prabhudessai,RCB,https://sports.ndtv.com/cricket/players/110587-suyash-prabhudessai-playerprofile,All-Rounder ,0.3,Suyash S Prabhudessai,"December 6, 1997 ","24 Years, 3 Months, 9 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suyash prabhudessai
Chama Milind,RCB,https://sports.ndtv.com/cricket/players/64116-chama-v-milind-playerprofile,Bowler ,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chama milind
Aneeshwar Gautam,RCB,https://sports.ndtv.com/cricket/players/114974-aneeshwar-gautam-playerprofile,All-Rounder ,0.2,Aneeshwar Gautam Narendra,"January 16, 2003 Bengaluru, Karnataka","19 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aneeshwar gautam
Akash Deep,RCB,https://sports.ndtv.com/cricket/players/113443-akash-deep-playerprofile,Bowler ,0.2,Akash Deep,"December 15, 1996 Dehri, (Rotas), Bihar","25 Years, 3 Months, 0 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,akash deep
Luvnith Sisodia,RCB,https://sports.ndtv.com/cricket/players/115304-luvnith-sisodia-playerprofile,Wicket-Keeper ,0.2,Luvnith Sujith Sisodia,"January 15, 2000 Bangalore, Karnataka","22 Years, 2 Months, 1 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luvnith sisodia
Rohit Sharma,MI,https://sports.ndtv.com/cricket/players/857-rohit-sharma-playerprofile,Batsman ,16.0,Rohit Gurunath Sharma,"April 30, 1987 Bansod, Nagpur, Maharashtra","34 Years, 10 Months, 16 Days",India,Right Handed,Off break,IPL,213.0,208.0,28.0,5611.0,109* v KKR,1.0,40.0,491.0,227.0,31.17,130.39,90.0,0.0,13.0,11.0,32.0,56.3,0.0,453.0,15.0,4/6 v MI,1.0,0.0,30.2,8.01,22.6,32.0,rohit sharma
